Ticker,News Count,Mean Sentiment,Positive News %,Negative News %
NVDA,100,0.179069,42.0,8.0
AMZN,100,0.15787199999999998,55.00000000000001,10.0
META,100,0.15562199999999998,43.0,14.000000000000002
AMD,100,0.13851999999999998,44.0,13.0
MSFT,100,0.136868,34.0,14.000000000000002
AAPL,100,0.12077600000000001,36.0,12.0
ORCL,100,0.120372,40.0,15.0
GOOGL,100,0.102499,28.000000000000004,14.000000000000002
TSLA,100,0.090655,39.0,21.0
INTC,100,0.068327,24.0,18.0
