ticker,date,time,title,compound,pos,neu,neg
AAPL,2025-05-12,12:07PM,Big News! U.S. and China Trade Deal Shakes Up Markets,0.0,0.0,1.0,0.0
AAPL,2025-05-12,12:22PM,Why Apple's Stock Is Surging Today,0.0,0.0,1.0,0.0
AAPL,2025-05-12,12:34PM,"Apple Shares Climb 5% as U.S., China Agree to Temporary Tariff Truce",0.5719,0.32,0.68,0.0
AAPL,2025-05-12,12:48PM,"Dow, S&P Surge After U.S., China Agree to Slash Tariffs",0.1027,0.198,0.635,0.167
AAPL,2025-05-12,12:58PM,"2025 will be a tricky year for Apple, but it's setup well for 2026, says D.A. Davidson's Gil Luria",0.3291,0.133,0.802,0.065
AAPL,2025-05-13,01:00PM,Google Unveils Major Android Redesign Ahead of iPhone Overhaul,0.0,0.0,1.0,0.0
AAPL,2025-05-13,01:06PM,Google announces 1B+ RCS messages sent in the US daily,0.0,0.0,1.0,0.0
AAPL,2025-05-13,01:11PM,Google needs 'big bang breakup' that would value its businesses at $3.7 trillion as AI threatens Search: Analyst,-0.0516,0.114,0.762,0.124
AAPL,2025-05-13,03:00AM,"Nvidia Has Plenty of Runway, This Hedge Fund Legend Says. Why Hes Less Enthused About Apple and Google.",0.4033,0.137,0.863,0.0
AAPL,2025-05-13,03:44PM,Apple Bets On Brain Signals To Boost Accessibility,0.4019,0.278,0.722,0.0
AAPL,2025-05-13,03:50PM,"Magnificent Seven Stocks: Amazon, Nvidia, Tesla Rally",0.6808,0.528,0.472,0.0
AAPL,2025-05-13,04:50AM,"Tesla Stock vs. Apple Stock: The Best buy Right Now, According to Wall Street",0.6369,0.244,0.756,0.0
AAPL,2025-05-13,06:00AM,Prediction: 3 Stocks That'll Be Worth More Than Apple 5 Years From Now,0.2263,0.16,0.84,0.0
AAPL,2025-05-13,06:01AM,A 'Magnificent' China reset reignites the tech trade,0.0,0.0,1.0,0.0
AAPL,2025-05-13,06:20AM,Is SPDR MSCI USA StrategicFactors ETF (QUS) a Strong ETF Right Now?,0.5106,0.248,0.752,0.0
AAPL,2025-05-13,06:20AM,Is FlexShares Quality Dividend Defensive ETF (QDEF) a Strong ETF Right Now?,0.5267,0.328,0.672,0.0
AAPL,2025-05-13,06:28AM,Apple adds $180 billion to its market cap as Trump reveals he spoke to CEO Tim Cook after China tariffs rollback,0.0,0.0,1.0,0.0
AAPL,2025-05-13,06:46AM,Tap Mag-7 ETFs on Temporary US-China Trade Truce,0.0,0.0,1.0,0.0
AAPL,2025-05-13,07:47AM,3 Stocks Plan +$130B in Buybacks: Why Markets Wanted Even More,0.0,0.0,1.0,0.0
AAPL,2025-05-13,08:00AM,Apple Wants People to Control Devices With Their Thoughts,0.0,0.0,1.0,0.0
AAPL,2025-05-13,08:00AM,Apple unveils powerful accessibility features coming later this year,0.4215,0.259,0.741,0.0
AAPL,2025-05-13,08:24AM,3 Reasons Why Disney Stock May Be a Smart Buy After Q2 Earnings Beat,0.4019,0.197,0.803,0.0
AAPL,2025-05-13,08:51AM,Nvidia poised to rejoin $3 trillion club after US-China trade war deescalation,-0.4404,0.126,0.629,0.245
AAPL,2025-05-13,08:53AM,"Apple ventures into brain-computer interfaces, teams up with Synchron - WSJ",0.0,0.0,1.0,0.0
AAPL,2025-05-13,08:59AM,"Analyst Highlights 'Distrubing and Dissappointing"" Development for Apple (AAPL)",0.0,0.0,1.0,0.0
AAPL,2025-05-13,09:15AM,These 4 Warren Buffett Stocks Make Up Over 57% of Berkshire Hathaway's $277 Billion Portfolio,0.0,0.0,1.0,0.0
